Abbreviation,Description,Neutral formula,Charged formula,Charge,Compartment,KEGG ID,PubChem ID,ChEBI ID,InChI string,SMILES
m02942[m],succinate semialdehyde,C4H6O3,C4H6O3,0,m,C00232,,CHEBI:16265,,
m01013[c],4-methyl-2-oxopentanoate,C6H10O3,C6H10O3,0,c,C00233,,CHEBI:48430,,
m01013[m],4-methyl-2-oxopentanoate,C6H10O3,C6H10O3,0,m,C00233,,CHEBI:48430,,
m00266[c],10-formyl-THF,C20H23N7O7,C20H23N7O7,0,c,C00234,,CHEBI:15637,,
m00266[l],10-formyl-THF,C20H23N7O7,C20H23N7O7,0,l,C00234,,CHEBI:15637,,
m00266[m],10-formyl-THF,C20H23N7O7,C20H23N7O7,0,m,C00234,,CHEBI:15637,,
m00266[s],10-formyl-THF,C20H23N7O7,C20H23N7O7,0,s,C00234,,CHEBI:15637,,
m01706[c],dimethylallyl-PP,C5H12O7P2,C5H12O7P2,0,c,C00235,,CHEBI:16057,,
m00247[c],"1,3-bisphospho-D-glycerate",C3H8O10P2,C3H8O10P2,0,c,C00236,,CHEBI:16001,,
m01595[c],CO,CO,CO,0,c,C00237,,CHEBI:17245,,
m01595[s],CO,CO,CO,0,s,C00237,,CHEBI:17245,,
m02200[c],K+,K,K,0,c,C00238,,CHEBI:29103,,
m02200[g],K+,K,K,0,g,C00238,,CHEBI:29103,,
m02200[s],K+,K,K,0,s,C00238,,CHEBI:29103,,
m01644[c],dCMP,C9H14N3O7P,C9H14N3O7P,0,c,C00239,,CHEBI:15918,,
m01644[l],dCMP,C9H14N3O7P,C9H14N3O7P,0,l,C00239,,CHEBI:15918,,
m01644[m],dCMP,C9H14N3O7P,C9H14N3O7P,0,m,C00239,,CHEBI:15918,,
m01644[n],dCMP,C9H14N3O7P,C9H14N3O7P,0,n,C00239,,CHEBI:15918,,
m02037[c],guanine,C5H5N5O,C5H5N5O,0,c,C00242,,CHEBI:16235,,
m02037[s],guanine,C5H5N5O,C5H5N5O,0,s,C00242,,CHEBI:16235,,
m02332[c],lactose,C12H22O11,C12H22O11,0,c,C00243,,CHEBI:36219,,
m02332[g],lactose,C12H22O11,C12H22O11,0,g,C00243,,CHEBI:36219,,
m02332[l],lactose,C12H22O11,C12H22O11,0,l,C00243,,CHEBI:36219,,
m02332[s],lactose,C12H22O11,C12H22O11,0,s,C00243,,CHEBI:36219,,
m02961[c],taurine,C2H7NO3S,C2H7NO3S,0,c,C00245,,CHEBI:15891,,
m02961[p],taurine,C2H7NO3S,C2H7NO3S,0,p,C00245,,CHEBI:15891,,
m02961[s],taurine,C2H7NO3S,C2H7NO3S,0,s,C00245,,CHEBI:15891,,
m01410[c],butyrate,C4H8O2,C4H8O2,0,c,C00246,,CHEBI:30772;CHEBI:17968,,
m01410[s],butyrate,C4H8O2,C4H8O2,0,s,C00246,,CHEBI:30772;CHEBI:17968,,
m02417[c],L-sorbose,C6H12O6,C6H12O6,0,c,C00247,,CHEBI:17266,,
m02393[m],lipoamide,C8H15NOS2,C8H15NOS2,0,m,C00248,,,,
m02674[c],palmitate,C16H32O2,C16H32O2,0,c,C00249,,CHEBI:15756;CHEBI:7896,,
m02674[l],palmitate,C16H32O2,C16H32O2,0,l,C00249,,CHEBI:15756;CHEBI:7896,,
m02674[p],palmitate,C16H32O2,C16H32O2,0,p,C00249,,CHEBI:15756;CHEBI:7896,,
m02674[r],palmitate,C16H32O2,C16H32O2,0,r,C00249,,CHEBI:15756;CHEBI:7896,,
m02674[s],palmitate,C16H32O2,C16H32O2,0,s,C00249,,CHEBI:15756;CHEBI:7896,,
m02813[c],pyridoxal,C8H9NO3,C8H9NO3,0,c,C00250,,CHEBI:17310,,
m02813[s],pyridoxal,C8H9NO3,C8H9NO3,0,s,C00250,,CHEBI:17310,,
m02185[s],isomaltose,C12H22O11,C12H22O11,0,s,C00252,,CHEBI:28189,,
m02586[c],nicotinate,C6H5NO2,C6H5NO2,0,c,C00253,,CHEBI:15940,,
m02586[s],nicotinate,C6H5NO2,C6H5NO2,0,s,C00253,,CHEBI:15940,,
m02842[c],riboflavin,C17H20N4O6,C17H20N4O6,0,c,C00255,,CHEBI:17015,,
m02842[s],riboflavin,C17H20N4O6,C17H20N4O6,0,s,C00255,,CHEBI:17015,,
m01716[c],D-lactate,C3H6O3,C3H6O3,0,c,C00256,,CHEBI:42111,,
